factor,value,style,seed,position,error_px,correct_5px,confidence,ambiguous
rotation_deg,-3,dram,5000,center,0.0,True,0.3932,True
rotation_deg,-3,finfet,5031,center,0.0,True,0.3274,True
rotation_deg,-2,dram,5000,center,0.0,True,0.5954,False
rotation_deg,-2,finfet,5031,center,0.0,True,0.3941,False
rotation_deg,-1,dram,5000,center,0.0,True,0.4615,False
rotation_deg,-1,finfet,5031,center,0.0,True,0.3322,True
rotation_deg,0,dram,5000,center,0.0,True,0.444,True
rotation_deg,0,finfet,5031,center,0.0,True,0.4059,False
rotation_deg,1,dram,5000,center,0.0,True,0.3643,True
rotation_deg,1,finfet,5031,center,0.0,True,0.3353,True
rotation_deg,2,dram,5000,center,0.0,True,0.5631,False
rotation_deg,2,finfet,5031,center,0.0,True,0.3933,False
rotation_deg,3,dram,5000,center,0.0,True,0.3642,True
rotation_deg,3,finfet,5031,center,0.0,True,0.3254,True
scale,0.9,dram,5000,center,588.99,False,0.3749,True
scale,0.9,finfet,5031,center,0.0,True,0.3649,False
scale,0.95,dram,5000,center,573.5,False,0.5379,False
scale,0.95,finfet,5031,center,216.53,False,0.2659,True
scale,1.0,dram,5000,center,0.0,True,0.444,True
scale,1.0,finfet,5031,center,0.0,True,0.4059,False
scale,1.05,dram,5000,center,573.5,False,0.5379,False
scale,1.05,finfet,5031,center,221.98,False,0.2642,True
scale,1.1,dram,5000,center,359.55,False,0.5648,False
scale,1.1,finfet,5031,center,4.0,True,0.2831,True
noise_level,low,dram,5000,center,0.0,True,0.444,True
noise_level,low,finfet,5031,center,0.0,True,0.4059,False
noise_level,high,dram,5000,center,0.0,True,0.5399,False
noise_level,high,finfet,5031,center,0.0,True,0.2831,True
position,center,dram,5000,center,0.0,True,0.444,True
position,center,finfet,5031,center,0.0,True,0.4059,False
position,edge,dram,5000,edge,0.0,True,0.4747,True
position,edge,finfet,5031,edge,0.0,True,0.4037,False
position,corner,dram,5000,corner,0.0,True,0.3811,True
position,corner,finfet,5031,corner,0.0,True,0.4046,False
position,random,dram,5000,random,532.05,False,0.6071,True
position,random,finfet,5031,random,0.0,True,0.4061,False
